Weight class,fighter1,fighter2,outcome,F1_Str,F2_Str,F1_Td,F2_Td,F1_Kd,F2_Kd,F1_Sub,F2_Sub
Welterweight,Michael Morales,Neil Magny,fighter1,34,5,0,0,1,0,0,0
Middleweight,Gerald Meerschaert,Edmen Shahbazyan,fighter1,21,48,1,0,0,0,1,0
Lightweight,Francis Marshall,Dennis Buzukja,fighter1,57,66,1,0,1,0,0,0
Middleweight,Zachary Reese,Jose Daniel Medina,fighter1,75,32,5,1,0,0,1,0
Lightweight,Viacheslav Borshchev,James Llontop,fighter1,96,93,0,0,0,0,0,0
Women's Bantamweight,Jacqueline Cavalcanti,Josiane Nunes,fighter1,91,52,0,0,0,0,0,0
Women's Flyweight,Wang Cong,Victoria Leonardo,fighter1,10,1,0,0,1,0,0,0
Middleweight,Dricus Du Plessis,Israel Adesanya,fighter1,90,97,4,0,0,0,2,0
Flyweight,Kai Kara-France,Steve Erceg,fighter1,18,9,0,0,2,0,0,0
Lightweight,Dan Hooker,Mateusz Gamrot,fighter1,65,64,0,5,0,0,0,0
Heavyweight,Jairzinho Rozenstruik,Tai Tuivasa,fighter1,91,37,0,0,0,0,0,0
Welterweight,Carlos Prates,Li Jingliang,fighter1,55,41,0,0,3,0,0,0
Heavyweight,Valter Walker,Junior Tafa,fighter1,4,5,2,0,0,0,1,0
Featherweight,Ricardo Ramos,Josh Culibao,fighter1,27,70,1,0,0,1,1,0
Women's Flyweight,Casey O'Neill,Luana Santos,fighter1,83,41,0,1,0,0,1,0
Featherweight,Jack Jenkins,Herbert Burns,fighter1,73,24,0,2,2,0,0,0
Lightweight,Tom Nolan,Alex Reyes,fighter1,84,69,0,2,0,0,1,0
Welterweight,Song Kenan,Ricky Glenn,fighter1,87,40,1,2,0,0,0,0
Flyweight,Jesus Aguilar,Stewart Nicoll,fighter1,3,8,0,1,0,0,1,0
Heavyweight,Serghei Spivac,Marcin Tybura,fighter1,3,0,1,0,0,0,1,0
Featherweight,Chepe Mariscal,Damon Jackson,fighter1,73,32,5,1,0,0,0,0
